날짜,팀,선수명,타점,득점,타석,타수,안타,볼넷,사구,삼진,2루타,3루타,홈런,희번,희비,병살타,타격방해,고의사구,page_id,단타,TB,Outs,타율,출루율,장타율,OPS,순출루율,순장타율,K%,BB%,BB/K,BABIP,SecA,PA/HR,AB/HR,GPA,RC,RC/27,XR,TAVG,연도,home_stadium,FinalPF,wOBA,wRAA,wRC+,stint_id,ST,SB,CS,병살상황,병살비율,희생번트 성공,희생번트 실패,희번성공 비율
2025-10-04,KIA,고종욱,16,13,123,115,34,5,0,17,2,0,3,0,3,2,0,1,699428,29,45,86,0.295652174,0.317073171,0.391304348,0.708377519,0.021420997,0.095652174,0.138211382,0.040650407,0.294117647,0.316326531,0.139130435,41,38.33333333,0.240509014,11.953125,3.752725291,26.334,0.581395349,2025,광주,0.998740259,0.318294592,-1.757512629,88.38208448,,3,2,1,26,7.7,0,0,0
2025-10-04,KIA,김규성,16,30,222,193,45,21,2,49,4,0,3,5,1,1,0,0,2704538,38,58,155,0.233160622,0.313364055,0.300518135,0.61388219,0.080203434,0.067357513,0.220720721,0.094594595,0.428571429,0.295774648,0.176165803,74,64.33333333,0.216143359,14.44081633,2.515497038,38.328,0.522580645,2025,광주,0.998740259,0.294301503,-7.409589693,72.69382695,,7,5,2,53,1.9,5,1,83.3
2025-10-04,KIA,김기훈,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2459864,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.098,0,2025,광주,0.998740259,0,-0.267509419,-119.7398326,,0,0,0,1,0,0,0,0
2025-10-04,KIA,김도영,27,20,122,110,34,10,0,23,9,0,7,0,2,3,0,1,3196494,18,64,81,0.309090909,0.360655738,0.581818182,0.94247392,0.051564829,0.272727273,0.18852459,0.081967213,0.434782609,0.329268293,0.363636364,17.42857143,15.71428571,0.307749627,18.90909091,6.303030303,31.016,0.913580247,2025,광주,0.998740259,0.411670446,7.319617101,149.4373531,,3,3,0,31,9.7,0,0,0
2025-10-04,KIA,김석환,16,14,134,117,31,14,2,55,1,2,2,0,1,0,0,0,1987500,26,42,87,0.264957265,0.350746269,0.358974359,0.709720628,0.085789004,0.094017094,0.410447761,0.104477612,0.254545455,0.475409836,0.213675214,67,58.5,0.247579411,12.88,3.997241379,21.89,0.666666667,2025,광주,0.998740259,0.334492932,-0.187875804,98.97362335,,0,0,0,26,0,0,0,0
2025-10-04,KIA,김선빈,46,31,308,271,87,31,3,35,18,1,3,2,1,8,0,0,222661,65,116,195,0.32103321,0.395424837,0.42804428,0.823469117,0.074391626,0.10701107,0.113636364,0.100649351,0.885714286,0.358974359,0.221402214,102.6666667,90.33333333,0.284952247,37.30994152,5.165991903,69.85,0.769230769,2025,광주,0.998740259,0.382569434,11.34838943,130.4091995,,4,4,0,69,13,2,0,100
2025-10-04,KIA,김태군,31,20,274,236,61,17,10,20,10,1,5,8,3,9,0,1,289623,45,88,195,0.258474576,0.330827068,0.372881356,0.703708424,0.072352491,0.11440678,0.072992701,0.062043796,0.85,0.261682243,0.186440678,54.8,47.2,0.242092519,19.88039867,2.752670585,57.12,0.58974359,2025,광주,0.998740259,0.326493077,-2.127987781,93.74279271,,0,0,0,44,20.5,8,0,100
2025-10-04,KIA,김호령,39,46,381,332,94,34,6,94,26,3,6,8,1,4,0,0,1146368,59,144,251,0.28313253,0.35924933,0.43373494,0.79298427,0.0761168,0.15060241,0.24671916,0.089238845,0.361702128,0.377682403,0.253012048,63.5,55.33333333,0.270095933,41.3871734,4.4520067,76.538,0.733067729,2025,광주,0.998740259,0.364704493,8.623129431,118.7279272,,13,12,1,68,5.9,8,3,72.7
2025-10-04,KIA,나성범,36,30,310,261,70,42,6,79,16,0,10,0,1,6,0,1,678785,44,116,198,0.268199234,0.380645161,0.444444444,0.825089606,0.112445928,0.176245211,0.25483871,0.135483871,0.53164557,0.346820809,0.337164751,31,26.1,0.282401434,35.96648045,4.904520061,64.638,0.828282828,2025,광주,0.998740259,0.380560837,10.92671614,129.0958465,,0,0,0,63,9.5,0,0,0
2025-10-04,KIA,박민,6,11,105,94,19,5,3,33,5,0,1,3,0,1,0,0,2825638,13,27,79,0.20212766,0.264705882,0.287234043,0.551939925,0.062578223,0.085106383,0.314285714,0.047619048,0.151515152,0.3,0.138297872,105,94,0.190926158,5.495575221,1.878234569,14.556,0.443037975,2025,광주,0.998740259,0.261874722,-6.213249272,51.49106652,,1,1,0,17,5.9,3,0,100
2025-10-04,KIA,박재현,3,11,69,62,5,6,0,26,1,0,0,0,1,0,0,0,3977734,4,6,58,0.080645161,0.15942029,0.096774194,0.256194483,0.078775129,0.016129032,0.376811594,0.086956522,0.230769231,0.135135135,0.112903226,0,0,0.095932679,0.8,0.372413793,5.372,0.206896552,2025,광주,0.998740259,0.136870491,-10.94488229,-30.24491293,,7,4,3,13,0,0,0,0
2025-10-04,KIA,박정우,4,17,75,62,17,10,3,12,2,0,0,0,0,1,0,0,2966764,15,19,46,0.274193548,0.4,0.306451613,0.706451613,0.125806452,0.032258065,0.16,0.133333333,0.833333333,0.34,0.193548387,0,0,0.256612903,6.261363636,3.675148221,14.784,0.695652174,2025,광주,0.998740259,0.349758755,0.80570524,108.9554218,,3,2,1,22,4.5,0,3,0
2025-10-04,KIA,박찬호,42,75,595,516,148,62,3,69,18,2,5,8,6,7,0,0,1138034,123,185,389,0.286821705,0.36286201,0.358527132,0.721389142,0.076040305,0.071705426,0.115966387,0.104201681,0.898550725,0.319196429,0.191860465,119,103.2,0.252919688,53.81818182,3.735452208,125.938,0.642673522,2025,광주,0.998740259,0.340176803,1.856263875,102.6901119,,33,27,6,106,6.6,8,0,100
2025-10-04,KIA,박헌,0,0,14,12,1,1,1,3,0,0,0,0,0,0,0,0,4087955,1,1,11,0.083333333,0.214285714,0.083333333,0.297619048,0.130952381,0,0.214285714,0.071428571,0.333333333,0.111111111,0.083333333,0,0,0.117261905,0.1875,0.460227273,1.606,0.272727273,2025,광주,0.998740259,0.173813282,-1.809240697,-6.089288882,,0,0,0,2,0,0,0,0
2025-10-04,KIA,변우혁,17,11,153,142,31,10,1,47,7,0,0,0,0,3,0,0,2487143,24,38,114,0.218309859,0.274509804,0.267605634,0.542115438,0.056199945,0.049295775,0.307189542,0.065359477,0.212765957,0.326315789,0.11971831,0,0,0.19043082,9.036585366,2.140243902,20.824,0.429824561,2025,광주,0.998740259,0.258893507,-9.416464761,49.54175254,,0,0,0,27,11.1,0,0,0
2025-10-04,KIA,서건창,2,1,26,22,3,2,0,5,1,0,1,2,0,1,0,0,455152,1,7,22,0.136363636,0.208333333,0.318181818,0.526515152,0.071969697,0.181818182,0.192307692,0.076923077,0.4,0.125,0.272727273,26,22,0.173295455,0.5,0.613636364,3.82,0.409090909,2025,광주,0.998740259,0.241901381,-1.951655778,38.43118413,,1,1,0,8,12.5,2,0,100
2025-10-04,KIA,오선우,56,58,474,437,116,34,3,158,17,1,18,0,0,11,0,2,2506627,80,189,332,0.265446224,0.32278481,0.432494279,0.755279089,0.057338586,0.167048055,0.333333333,0.071729958,0.215189873,0.375478927,0.244851259,26.33333333,24.27777778,0.253376734,52.52054795,4.271249381,86.716,0.680722892,2025,광주,0.998740259,0.342993568,2.540953517,104.531898,,2,0,2,110,10,0,0,0
2025-10-04,KIA,위즈덤,85,73,486,424,100,52,4,142,20,1,35,0,6,9,0,2,3937109,44,227,339,0.235849057,0.320987654,0.535377358,0.856365013,0.085138598,0.299528302,0.29218107,0.106995885,0.366197183,0.256916996,0.422169811,13.88571429,12.11428571,0.278288784,59.05350554,4.703376547,108.054,0.83480826,2025,광주,0.998740259,0.375948025,15.34677598,126.0796872,,3,3,0,131,6.9,0,0,0
