연도,날짜,팀,선수명,page_id,역할,결과,G,투구점수,IP,타자수,피안타,피홈런,볼넷,삼진,실점,자책,lgIP,lgERA,fip_const,ERA,RA9,WHIP,K/9,BB/9,HR/9,K%,BB%,FIP,ERA+,ERA-,stint_id,CG,SHO,W,L,S,HD,2B,3B
2025,2025-10-04,KIA,곽도규,3615457,,,9,409.6,4,22,3,0,8,5,6,6,12773.66667,4.322564651,3.444038517,13.5,13.5,2.75,11.25,18,0,0.227272727,0.363636364,6.944038517,31.97871254,312.7080238,,0,0,0,0,0,3,0,0
2025,2025-10-04,KIA,김건국,916280,,,26,1150.4,46,216,59,11,22,31,38,35,12773.66667,4.322564651,3.444038517,6.847826087,7.434782609,1.760869565,6.065217391,4.304347826,2.152173913,0.143518519,0.101851852,6.639690691,63.04374757,158.6200121,,0,0,0,3,0,1,9,0
2025,2025-10-04,KIA,김기훈,2459864,중계,,24,1176.1,27.66666667,117,25,2,11,27,11,10,12773.66667,4.322564651,3.444038517,3.253012048,3.578313253,1.301204819,8.78313253,3.578313253,0.65060241,0.230769231,0.094017094,3.624761408,132.711657,75.35133103,,0,0,1,1,0,0,8,1
2025,2025-10-04,KIA,김대유,812734,,,15,688.5,8.333333333,42,12,1,4,3,9,9,12773.66667,4.322564651,3.444038517,9.72,9.72,1.92,3.24,4.32,1.08,0.071428571,0.095238095,5.724038517,44.41487852,225.1497771,,0,0,0,1,0,1,1,0
2025,2025-10-04,KIA,김도현,2508080,,,24,1107.6,125.3333333,561,149,11,43,71,79,67,12773.66667,4.322564651,3.444038517,4.811170213,5.67287234,1.531914894,5.098404255,3.087765957,0.789893617,0.126559715,0.076648841,4.481272559,89.73131279,111.443817,,0,0,4,7,0,0,28,4
2025,2025-10-04,KIA,김민재,4081070,,,1,53.4,2,8,2,0,0,1,0,0,12773.66667,4.322564651,3.444038517,0,0,1,4.5,0,0,0.125,0,2.444038517,0,0,,0,0,0,0,0,0,0,0
2025,2025-10-04,KIA,김민주,3891761,,,3,129.7,3,17,4,0,4,2,4,4,12773.66667,4.322564651,3.444038517,12,12,2.666666667,6,12,0,0.117647059,0.235294118,6.110705183,35.9760516,277.9626878,,0,0,0,0,0,0,1,1
2025,2025-10-04,KIA,김시훈,3158359,중계,,24,1082.1,25.66666667,118,33,7,10,18,25,23,12773.66667,4.322564651,3.444038517,8.064935065,8.766233766,1.675324675,6.311688312,3.506493506,2.454545455,0.152542373,0.084745763,6.755726828,53.42169605,187.983334,1,0,0,1,0,0,1,6,0
2025,2025-10-04,KIA,김정엽,4078882,,,2,89.3,1,5,0,0,2,0,2,2,12773.66667,4.322564651,3.444038517,18,18,2,0,18,0,0,0.4,9.444038517,23.9840344,416.9440317,,0,0,0,0,0,0,0,0
2025,2025-10-04,KIA,김태형,4072789,,,8,373.7,23.66666667,107,25,4,12,14,12,12,12773.66667,4.322564651,3.444038517,4.563380282,4.563380282,1.563380282,5.323943662,4.563380282,1.521126761,0.130841121,0.112149533,5.979249784,94.60369125,105.7041207,,0,0,0,3,0,0,4,0
2025,2025-10-04,KIA,김현수,2487761,,,18,861.7,18.33333333,86,17,2,14,11,5,5,12773.66667,4.322564651,3.444038517,2.454545455,2.454545455,1.690909091,5.4,6.872727273,0.981818182,0.127906977,0.162790698,5.953129426,175.8829189,56.85600432,,0,0,0,0,0,0,3,1
2025,2025-10-04,KIA,네일,3751352,,,27,1627.3,164.3333333,664,135,6,56,152,46,41,12773.66667,4.322564651,3.444038517,2.245436105,2.519269777,1.162271805,8.324543611,3.06693712,0.328600406,0.228915663,0.084337349,3.09109734,192.2622595,52.01228793,,0,0,8,4,0,0,18,1
2025,2025-10-04,KIA,성영탁,4036535,,,45,2255.5,52.33333333,198,38,2,13,30,11,9,12773.66667,4.322564651,3.444038517,1.547770701,1.891719745,0.974522293,5.159235669,2.23566879,0.343949045,0.151515152,0.065656566,3.539579918,278.9254371,35.85187534,,0,0,3,2,0,7,6,0
2025,2025-10-04,KIA,양현종,239450,선발,,30,1404.5,153,677,171,12,61,109,101,86,12773.66667,4.322564651,3.444038517,5.058823529,5.941176471,1.516339869,6.411764706,3.588235294,0.705882353,0.161004431,0.090103397,4.23488819,85.33854101,117.1803488,,0,0,7,9,0,0,23,4
