팀,선수명,page_id,타순,포지션,외국인여부
KIA,김석환,1987500,0,좌익수,
KIA,김규성,2704538,0,2루수,
KIA,윤도현,3638750,0,2루수,
KIA,고종욱,699428,0,좌익수,
KIA,이창진,1593128,0,좌익수,
KIA,김태군,289623,0,포수,
KIA,박찬호,1138034,1,유격수,
KIA,김선빈,222661,2,2루수,
KIA,나성범,678785,3,우익수,
KIA,최형우,223389,4,지명타자,
KIA,위즈덤,3937109,5,1루수,외국인
KIA,오선우,2506627,6,좌익수,
KIA,변우혁,2487143,7,3루수,
KIA,한준수,1797505,8,포수,
KIA,김호령,1146368,9,중견수,
KT,문상철,1659375,0,1루수,
KT,오윤석,1627509,0,2루수,
KT,장진혁,1945252,0,우익수,
KT,장준원,1015527,0,유격수,
KT,강현우,2698085,0,포수,
KT,배정대,1015525,0,중견수,
KT,허경민,450683,1,3루수,
KT,김민혁,1501479,2,좌익수,
KT,안현민,3891049,3,우익수,
KT,장성우,352927,4,포수,
KT,황재균,292165,5,1루수,
KT,강백호,1882039,6,지명타자,
KT,스티븐슨,4065614,7,중견수,외국인
KT,권동진,2852168,8,유격수,
KT,김상수,299583,9,2루수,
LG,이영빈,2852445,0,2루수,
LG,천성호,2717987,0,2루수,
LG,문정빈,3976177,0,3루수,
LG,송찬의,3196459,0,우익수,
LG,이주헌,3890122,0,포수,
LG,구본혁,2522898,0,유격수,
LG,신민재,2484309,1,2루수,
LG,홍창기,1607303,2,지명타자,
LG,오스틴,3333938,3,1루수,외국인
LG,문보경,2966754,4,3루수,
LG,박동원,468477,5,포수,
LG,오지환,273675,6,유격수,
LG,김현수,203566,7,좌익수,
LG,문성주,1983121,8,우익수,
LG,박해민,844422,9,중견수,
NC,도태훈,1499730,0,1루수,
NC,서호철,2715863,0,1루수,
NC,홍종표,2778771,0,2루수,
NC,이우성,1116690,0,좌익수,
NC,천재환,3243743,0,중견수,
NC,박세혁,836256,0,포수,
NC,김주원,2852202,1,유격수,
NC,최원준,1631314,2,중견수,
NC,박민우,678905,3,2루수,
NC,데이비슨,3747555,4,1루수,외국인
NC,박건우,373391,5,우익수,
NC,김휘집,2851452,6,3루수,
NC,김형준,1986399,7,포수,
NC,권희동,923902,8,좌익수,
NC,오영수,1958785,9,지명타자,
SSG,오태곤,510675,0,1루수,
SSG,김성현,468484,0,3루수,
SSG,김찬형,1803602,0,3루수,
SSG,김성욱,678893,0,우익수,
SSG,최준우,2518131,0,좌익수,
SSG,이지영,289476,0,포수,
SSG,최지훈,2698101,1,중견수,
SSG,박성한,1838428,2,유격수,
SSG,최정,74405,3,지명타자,
SSG,한유섬,792323,4,우익수,
SSG,고명준,2966322,5,1루수,
SSG,에레디아,3329386,6,좌익수,외국인
SSG,안상현,2020561,7,3루수,
SSG,조형우,3234622,8,포수,
SSG,정준재,3839080,9,2루수,
두산,양석환,1035495,0,1루수,
두산,박계범,1052979,0,2루수,
두산,안재석,2851314,0,유격수,
두산,김인태,864844,0,좌익수,
두산,조수행,1608621,0,좌익수,
두산,김기연,2036561,0,포수,
두산,정수빈,323457,1,중견수,
두산,케이브,3924917,2,우익수,외국인
두산,양의지,450095,3,포수,
두산,김재환,450679,4,지명타자,
두산,강승호,873434,5,1루수,
두산,박준순,3988775,6,3루수,
두산,오명진,2745405,7,2루수,
두산,김민석,3611562,8,좌익수,
두산,이유찬,1962778,9,유격수,
롯데,정훈,510077,0,1루수,
롯데,한태양,3224552,0,2루수,
롯데,김민성,319585,0,3루수,
롯데,김동혁,3692354,0,중견수,
롯데,황성빈,3212874,0,중견수,
롯데,정보근,2564650,0,포수,
롯데,장두성,2966767,1,중견수,
롯데,고승민,2507245,2,2루수,
롯데,레이예스,3730363,3,좌익수,외국인
롯데,전준우,247282,4,지명타자,
롯데,윤동희,3227755,5,우익수,
롯데,유강남,588862,6,포수,
롯데,손호영,2699438,7,3루수,
롯데,전민재,2647420,8,유격수,
롯데,나승엽,2851457,9,1루수,
삼성,심재훈,3997203,0,2루수,
삼성,양도근,3890864,0,2루수,
삼성,전병우,2034879,0,3루수,
삼성,김헌곤,588813,0,좌익수,
삼성,박승규,2561065,0,중견수,
삼성,김재성,1591904,0,포수,
삼성,김지찬,2697432,1,중견수,
삼성,김성윤,1786762,2,우익수,
삼성,구자욱,844051,3,좌익수,
삼성,디아즈,3869434,4,1루수,외국인
삼성,김영웅,3283321,5,3루수,
삼성,강민호,149157,6,포수,
삼성,박병호,243696,7,지명타자,
삼성,이재현,3196393,8,유격수,
삼성,류지혁,793973,9,2루수,
키움,송지후,3891885,0,2루수,
키움,전태현,3977520,0,2루수,
키움,주성원,3625642,0,우익수,
키움,오선진,308768,0,유격수,
키움,박주홍,2622616,0,좌익수,
키움,김재현,715619,0,포수,
키움,송성문,1582021,1,3루수,
키움,임지열,1004270,2,좌익수,
키움,이주형,2951426,3,중견수,
키움,최주환,450682,4,1루수,
키움,김태진,1039515,5,2루수,
키움,김건희,3612591,6,포수,
키움,어준서,3976950,7,유격수,
키움,카디네스,3851245,8,우익수,외국인
키움,김동엽,1472305,9,지명타자,
한화,김태연,1795455,0,1루수,
한화,이도윤,1971980,0,2루수,
한화,이원석,2507570,0,우익수,
한화,심우준,1501462,0,유격수,
한화,임종찬,2789119,0,중견수,
