팀,선수명,page_id,역할,외국인여부
KIA,정해영,2765633,마무리,
KIA,조상우,834583,셋업맨1,
KIA,전상현,1631324,셋업맨2,
KIA,최지민,3196605,추격조1,
KIA,이준영,307169,추격조2,
KIA,성영탁,4036535,추격조3,
KIA,한재승,3213928,추격조4,
KIA,김건국,916280,추격조5,
KIA,네일,3751352,선발1,외국인
KIA,올러,3933076,선발2,외국인
KIA,김도현,2508080,선발3,
KIA,양현종,239450,선발4,
KIA,윤영철,3611899,선발5,
KT,박영현,3198300,마무리,
KT,원상현,3783726,셋업맨1,
KT,손동현,2484614,셋업맨2,
KT,김민수,1501530,추격조1,
KT,우규민,236907,추격조2,
KT,이상동,2500259,추격조3,
KT,주권,1106095,추격조4,
KT,전용주,2488113,추격조5,
KT,고영표,1078061,선발1,
KT,소형준,2699592,선발2,
KT,오원석,2828629,선발3,
KT,헤이수스,3730453,선발4,외국인
KT,쿠에바스,2302916,선발5,외국인
LG,유영찬,3611491,마무리,
LG,김진성,687603,셋업맨1,
LG,박명근,3611479,셋업맨2,
LG,김영우,3977599,추격조1,
LG,장현식,925563,추격조2,
LG,이지강,3216050,추격조3,
LG,이정용,2795411,추격조4,
LG,백승현,1835342,추격조5,
LG,임찬규,555207,선발1,
LG,치리노스,3925530,선발2,외국인
LG,손주영,1744590,선발3,
LG,송승기,3207349,선발4,
LG,에르난데스,3858091,선발5,외국인
NC,류진욱,1222322,마무리,
NC,배재환,1034055,셋업맨1,
NC,김영규,2485776,셋업맨2,
NC,김진호,1798822,추격조1,
NC,전사민,2514541,추격조2,
NC,손주환,4070455,추격조3,
NC,최성영,1454565,추격조4,
NC,임정호,958813,추격조5,
NC,라일리,3928000,선발1,외국인
NC,로건,3933786,선발2,외국인
NC,신민혁,2797886,선발3,
NC,목지훈,3892643,선발4,
NC,김녹원,4069922,선발5,
SSG,조병현,3057021,마무리,
SSG,노경은,316925,셋업맨1,
SSG,이로운,3611909,셋업맨2,
SSG,김민,1797467,추격조1,
SSG,박시후,3238123,추격조2,
SSG,한두솔,3213242,추격조3,
SSG,최민준,2011758,추격조4,
SSG,전영준,3226570,추격조5,
SSG,앤더슨,3802368,선발1,외국인
SSG,화이트,3920646,선발2,외국인
SSG,김건우,2851319,선발3,
SSG,김광현,142885,선발4,
SSG,문승원,725147,선발5,
두산,김택연,3780705,마무리,
두산,박치국,1747365,셋업맨1,
두산,이영하,1766723,셋업맨2,
두산,박신지,1953587,추격조1,
두산,고효준,43568,추격조2,
두산,최지강,3272934,추격조3,
두산,박정수,1591976,추격조4,
두산,이병헌,3280803,추격조5,
두산,잭로그,3935293,선발1,외국인
두산,곽빈,1791887,선발2,
두산,최승용,2998539,선발3,
두산,콜어빈,3920345,선발4,외국인
두산,최원준,1890246,선발5,
롯데,김원중,836135,마무리,
롯데,정철원,3213352,셋업맨1,
롯데,최준용,2790445,셋업맨2,
롯데,정현수,3795035,추격조1,
롯데,김강현,2828124,추격조2,
롯데,박진,2507241,추격조3,
롯데,송재영,2976784,추격조4,
롯데,김상수,299577,추격조5,
롯데,감보아,3992495,선발1,외국인
롯데,데이비슨,3931924,선발2,외국인
롯데,나균안,1747364,선발3,
롯데,박세웅,967170,선발4,
롯데,이민석,3246699,선발5,
삼성,김재윤,1146363,마무리,
삼성,김태훈,715622,셋업맨1,
삼성,배찬승,3976074,셋업맨2,
삼성,이승민,2724622,추격조1,
삼성,이호성,3611514,추격조2,
삼성,이승현,719985,추격조3,
삼성,양창섭,1883147,추격조4,
삼성,백정현,299512,추격조5,
삼성,후라도,3323118,선발1,외국인
삼성,가라비토,4034973,선발2,외국인
삼성,원태인,2485589,선발3,
삼성,최원태,1499307,선발4,
삼성,이승현(좌),2851752,선발5,
키움,주승우,3277273,마무리,
키움,원종현,455300,셋업맨1,
키움,윤석원,3663047,셋업맨2,
키움,박윤성,3971571,추격조1,
키움,오석주,2507796,추격조2,
키움,조영건,2515484,추격조3,
키움,김선기,1830756,추격조4,
키움,이준우,4013110,추격조5,
키움,로젠버그,3925513,선발1,외국인
키움,알칸타라,2301546,선발2,외국인
키움,하영민,1004269,선발3,
키움,정현우,3977517,선발4,
키움,김윤하,3800703,선발5,
한화,김서현,3618453,마무리,
한화,한승혁,606770,셋업맨1,
한화,박상원,841120,셋업맨2,
한화,김범수,1110793,추격조1,
한화,조동욱,3814441,추격조2,
한화,김종수,2094541,추격조3,
한화,정우주,3976071,추격조4,
한화,주현상,1209146,추격조5,
한화,폰세,3931917,선발1,외국인
한화,와이스,3842414,선발2,외국인
한화,류현진,68735,선발3,
한화,문동주,3057205,선발4,
한화,엄상백,1113208,선발5,
